guid,Location,Macrolocation,Sublocation,LocationType,Macrotype,Placeholder,Map,LocatorMap,MacroPlaceholder,tags
eI;Y`p1m6I,Firth of Clyde,,,Body of Water,,,"<img src=""bow-Firth of Clyde.svg"" />",,,BoW
"d~eI,^F]XM",North Channel,,,Body of Water,,,"<img src=""bow-North Channel.svg"" />",,,BoW
gYzCPB16Dx,St George's Channel,,,Body of Water,,,"<img src=""bow-St George's Channel.svg"" />",,,BoW
f){W@|O5a&,Irish Sea,,,Body of Water,,,"<img src=""bow-Irish Sea.svg"" />",,,BoW
dK0n>g8>/E,Celtic Sea,,,Body of Water,,,"<img src=""bow-Celtic Sea.svg"" />",,,BoW
iU$KVdU>Cw,Bath,Somerset,,City,County,,,"<img src=""c-Somerset.svg"" />","<img src=""uk_counties.svg"" />",City England
u-2w:P|6Ir,Birmingham,West Midlands,,City,County,,,"<img src=""c-West Midlands.svg"" />","<img src=""uk_counties.svg"" />",City England
c^C+HcRlx.,Bradford,West Yorkshire,,City,County,,,"<img src=""c-West Yorkshire.svg"" />","<img src=""uk_counties.svg"" />",City England
gUAmD`%:Kq,Brighton and Hove,East Sussex,,City,County,,,"<img src=""c-East Sussex.svg"" />","<img src=""uk_counties.svg"" />",City England
f`yC^TI_K+,Bristol,Bristol,,City,County,,,"<img src=""c-Bristol.svg"" />","<img src=""uk_counties.svg"" />",City England
hG9r-QM08M,Cambridge,Cambridgeshire,,City,County,,,"<img src=""c-Cambridgeshire.svg"" />","<img src=""uk_counties.svg"" />",City England
"j~lAPEY(T,",Canterbury,Kent,,City,County,,,"<img src=""c-Kent.svg"" />","<img src=""uk_counties.svg"" />",City England
"qN}WsA>79,",Carlisle,Cumbria,,City,County,,,"<img src=""c-Cumbria.svg"" />","<img src=""uk_counties.svg"" />",City England
j}<t#&|0{f,Chelmsford,Essex,,City,County,,,"<img src=""c-Essex.svg"" />","<img src=""uk_counties.svg"" />",City England
eP0w-sF#!K,Chester,Cheshire,,City,County,,,"<img src=""c-Cheshire.svg"" />","<img src=""uk_counties.svg"" />",City England
?B;+HJ:D/,Chichester,West Sussex,,City,County,,,"<img src=""c-West Sussex.svg"" />","<img src=""uk_counties.svg"" />",City England
i+VO~;]zY=,Coventry,West Midlands,,City,County,,,"<img src=""c-West Midlands.svg"" />","<img src=""uk_counties.svg"" />",City England
s<cce6T0]@,Derby,Derbyshire,,City,County,,,"<img src=""c-Derbyshire.svg"" />","<img src=""uk_counties.svg"" />",City England
qnpyd6Gm4G,Durham,County Durham,,City,County,,,"<img src=""c-County Durham.svg"" />","<img src=""uk_counties.svg"" />",City England
c~!7`4<CAJ,Ely,Cambridgeshire,,City,County,,,"<img src=""c-Cambridgeshire.svg"" />","<img src=""uk_counties.svg"" />",City England
qiZisC81}k,Exeter,Devon,,City,County,,,"<img src=""c-Devon.svg"" />","<img src=""uk_counties.svg"" />",City England
faM<p~d%F(,Gloucester,Gloucestershire,,City,County,,,"<img src=""c-Gloucestershire.svg"" />","<img src=""uk_counties.svg"" />",City England
lca=u5;~|Y,Hereford,Herefordshire,,City,County,,,"<img src=""c-Herefordshire.svg"" />","<img src=""uk_counties.svg"" />",City England
dR}mPY$xB>,Kingston upon Hull,East Riding of Yorkshire,,City,County,,,"<img src=""c-East Riding of Yorkshire.svg"" />","<img src=""uk_counties.svg"" />",City England
rCQ#Ic@BPW,Lancaster,Lancashire,,City,County,,,"<img src=""c-Lancashire.svg"" />","<img src=""uk_counties.svg"" />",City England
iv@_vZ[7Dk,Leeds,West Yorkshire,,City,County,,,"<img src=""c-West Yorkshire.svg"" />","<img src=""uk_counties.svg"" />",City England
cC]4g1n~wQ,Leicester,Leicestershire,,City,County,,,"<img src=""c-Leicestershire.svg"" />","<img src=""uk_counties.svg"" />",City England
uO~&UMZk6$,Lichfield,Staffordshire,,City,County,,,"<img src=""c-Staffordshire.svg"" />","<img src=""uk_counties.svg"" />",City England
fpN#VJus%*,Lincoln,Lincolnshire,,City,County,,,"<img src=""c-Lincolnshire.svg"" />","<img src=""uk_counties.svg"" />",City England
